symbol,aux,position,start_time,ss_interval,ss_lag,dss,dss_lag,dss_norm,dss_lag_norm,dss_distance,bpm
N,,33,0.165,,,,,,,,
N,,125,0.625,0.46,,,,,,,32.60869565
N,,265,1.325,0.7,0.46,0.24,,0.456794823,,,21.42857143
N,,361,1.805,0.48,0.7,-0.22,0.24,-0.418728588,0.456794823,0.619673414,31.25
N,,481,2.405,0.6,0.48,0.12,-0.22,0.228397411,-0.418728588,0.476968561,25
N,,576,2.88,0.475,0.6,-0.125,0.12,-0.23791397,0.228397411,0.329800599,31.57894737
N,,701,3.505,0.625,0.475,0.15,-0.125,0.285496764,-0.23791397,0.371633502,24
N,,800,4,0.495,0.625,-0.13,0.15,-0.247430529,0.285496764,0.377796598,30.3030303
N,,889,4.445,0.445,0.495,-0.05,-0.13,-0.095165588,-0.247430529,0.265100652,33.70786517
N,,980,4.9,0.455,0.445,0.01,-0.05,0.019033118,-0.095165588,0.097050238,32.96703297
N,,1106,5.53,0.63,0.455,0.175,0.01,0.333079558,0.019033118,0.333622919,23.80952381
N,,1236,6.18,0.65,0.63,0.02,0.175,0.038066235,0.333079558,0.335247715,23.07692308
N,,1334,6.67,0.49,0.65,-0.16,0.02,-0.304529882,0.038066235,0.3068998,30.6122449
N,,1434,7.17,0.5,0.49,0.01,-0.16,0.019033118,-0.304529882,0.305124087,30
N,,1548,7.74,0.57,0.5,0.07,0.01,0.133231823,0.019033118,0.134584465,26.31578947
N,,1690,8.45,0.71,0.57,0.14,0.07,0.266463647,0.133231823,0.297915414,21.12676056
N,,1823,9.115,0.665,0.71,-0.045,0.14,-0.085649029,0.266463647,0.279890392,22.55639098
N,,1925,9.625,0.51,0.665,-0.155,-0.045,-0.295013323,-0.085649029,0.307194754,29.41176471
N,,2009,10.045,0.42,0.51,-0.09,-0.155,-0.171298059,-0.295013323,0.3411391,35.71428571
N,,2097,10.485,0.44,0.42,0.02,-0.09,0.038066235,-0.171298059,0.175476674,34.09090909
N,,2226,11.13,0.645,0.44,0.205,0.02,0.390178911,0.038066235,0.392031403,23.25581395
N,,2340,11.7,0.57,0.645,-0.075,0.205,-0.142748382,0.390178911,0.41547164,26.31578947
N,,2436,12.18,0.48,0.57,-0.09,-0.075,-0.171298059,-0.142748382,0.222980101,31.25
N,,2555,12.775,0.595,0.48,0.115,-0.09,0.218880853,-0.171298059,0.277942175,25.21008403
N,,2650,13.25,0.475,0.595,-0.12,0.115,-0.228397411,0.218880853,0.316345073,31.57894737
N,,2731,13.655,0.405,0.475,-0.07,-0.12,-0.133231823,-0.228397411,0.264416521,37.03703704
N,,2808,14.04,0.385,0.405,-0.02,-0.07,-0.038066235,-0.133231823,0.138563188,38.96103896
N,,2903,14.515,0.475,0.385,0.09,-0.02,0.171298059,-0.038066235,0.175476674,31.57894737
N,,3028,15.14,0.625,0.475,0.15,0.09,0.285496764,0.171298059,0.33294358,24
N,,3161,15.805,0.665,0.625,0.04,0.15,0.07613247,0.285496764,0.295473443,22.55639098
N,,3258,16.29,0.485,0.665,-0.18,0.04,-0.342596117,0.07613247,0.350953348,30.92783505
N,,3359,16.795,0.505,0.485,0.02,-0.18,0.038066235,-0.342596117,0.344704421,29.7029703
N,,3464,17.32,0.525,0.505,0.02,0.02,0.038066235,0.038066235,0.053833786,28.57142857
N,,3567,17.835,0.515,0.525,-0.01,0.02,-0.019033118,0.038066235,0.042559345,29.12621359
N,,3667,18.335,0.5,0.515,-0.015,-0.01,-0.028549676,-0.019033118,0.034312441,30
N,,3770,18.85,0.515,0.5,0.015,-0.015,0.028549676,-0.028549676,0.04037534,29.12621359
N,,3873,19.365,0.515,0.515,-3.55E-15,0.015,-6.76E-15,0.028549676,0.028549676,29.12621359
N,,3981,19.905,0.54,0.515,0.025,-3.55E-15,0.047582794,-6.76E-15,0.047582794,27.77777778
N,,4084,20.42,0.515,0.54,-0.025,0.025,-0.047582794,0.047582794,0.067292233,29.12621359
N,,4186,20.93,0.51,0.515,-0.005,-0.025,-0.009516559,-0.047582794,0.048525119,29.41176471
N,,4278,21.39,0.46,0.51,-0.05,-0.005,-0.095165588,-0.009516559,0.095640232,32.60869565
N,,4362,21.81,0.42,0.46,-0.04,-0.05,-0.07613247,-0.095165588,0.121871417,35.71428571
N,,4459,22.295,0.485,0.42,0.065,-0.04,0.123715265,-0.07613247,0.145263966,30.92783505
N,,4597,22.985,0.69,0.485,0.205,0.065,0.390178911,0.123715265,0.409322672,21.73913043
N,,4730,23.65,0.665,0.69,-0.025,0.205,-0.047582794,0.390178911,0.393069593,22.55639098
N,,4845,24.225,0.575,0.665,-0.09,-0.025,-0.171298059,-0.047582794,0.17778399,26.08695652
N,,4926,24.63,0.405,0.575,-0.17,-0.09,-0.323563,-0.171298059,0.366109327,37.03703704
N,,5025,25.125,0.495,0.405,0.09,-0.17,0.171298059,-0.323563,0.366109327,30.3030303
N,,5128,25.64,0.515,0.495,0.02,0.09,0.038066235,0.171298059,0.175476674,29.12621359
N,,5228,26.14,0.5,0.515,-0.015,0.02,-0.028549676,0.038066235,0.047582794,30
N,,5333,26.665,0.525,0.5,0.025,-0.015,0.047582794,-0.028549676,0.055490597,28.57142857
N,,5437,27.185,0.52,0.525,-0.005,0.025,-0.009516559,0.047582794,0.048525119,28.84615385
N,,5540,27.7,0.515,0.52,-0.005,-0.005,-0.009516559,-0.009516559,0.013458447,29.12621359
N,,5642,28.21,0.51,0.515,-0.005,-0.005,-0.009516559,-0.009516559,0.013458447,29.41176471
N,,5734,28.67,0.46,0.51,-0.05,-0.005,-0.095165588,-0.009516559,0.095640232,32.60869565
N,,5822,29.11,0.44,0.46,-0.02,-0.05,-0.038066235,-0.095165588,0.102496475,34.09090909
N,,5919,29.595,0.485,0.44,0.045,-0.02,0.085649029,-0.038066235,0.093727235,30.92783505
N,,6019,30.095,0.5,0.485,0.015,0.045,0.028549676,0.085649029,0.090282004,30
N,,6120,30.6,0.505,0.5,0.005,0.015,0.009516559,0.028549676,0.030094001,29.7029703
N,,6222,31.11,0.51,0.505,0.005,0.005,0.009516559,0.009516559,0.013458447,29.41176471
N,,6303,31.515,0.405,0.51,-0.105,0.005,-0.199847735,0.009516559,0.200074191,37.03703704
N,,6387,31.935,0.42,0.405,0.015,-0.105,0.028549676,-0.199847735,0.201876698,35.71428571
N,,6490,32.45,0.515,0.42,0.095,0.015,0.180814617,0.028549676,0.183054664,29.12621359
N,,6592,32.96,0.51,0.515,-0.005,0.095,-0.009516559,0.180814617,0.18106488,29.41176471
N,,6694,33.47,0.51,0.51,0,-0.005,0,-0.009516559,0.009516559,29.41176471
N,,6786,33.93,0.46,0.51,-0.05,0,-0.095165588,0,0.095165588,32.60869565
N,,6914,34.57,0.64,0.46,0.18,-0.05,0.342596117,-0.095165588,0.35556798,23.4375
N,,7026,35.13,0.56,0.64,-0.08,0.18,-0.152264941,0.342596117,0.374908938,26.78571429
N,,7115,35.575,0.445,0.56,-0.115,-0.08,-0.218880853,-0.152264941,0.266633531,33.70786517
N,,7222,36.11,0.535,0.445,0.09,-0.115,0.171298059,-0.218880853,0.277942175,28.03738318
N,,7331,36.655,0.545,0.535,0.01,0.09,0.019033118,0.171298059,0.17235221,27.52293578
N,,7425,37.125,0.47,0.545,-0.075,0.01,-0.142748382,0.019033118,0.144011667,31.91489362
N,,7526,37.63,0.505,0.47,0.035,-0.075,0.066615912,-0.142748382,0.157527078,29.7029703
N,,7625,38.125,0.495,0.505,-0.01,0.035,-0.019033118,0.066615912,0.069281594,30.3030303
N,,7726,38.63,0.505,0.495,0.01,-0.01,0.019033118,-0.019033118,0.026916893,29.7029703
N,,7828,39.14,0.51,0.505,0.005,0.01,0.009516559,0.019033118,0.021279672,29.41176471
N,,7930,39.65,0.51,0.51,0,0.005,0,0.009516559,0.009516559,29.41176471
N,,8031,40.155,0.505,0.51,-0.005,0,-0.009516559,0,0.009516559,29.7029703
N,,8133,40.665,0.51,0.505,0.005,-0.005,0.009516559,-0.009516559,0.013458447,29.41176471
N,,8237,41.185,0.52,0.51,0.01,0.005,0.019033118,0.009516559,0.021279672,28.84615385
N,,8340,41.7,0.515,0.52,-0.005,0.01,-0.009516559,0.019033118,0.021279672,29.12621359
N,,8440,42.2,0.5,0.515,-0.015,-0.005,-0.028549676,-0.009516559,0.030094001,30
N,,8531,42.655,0.455,0.5,-0.045,-0.015,-0.085649029,-0.028549676,0.090282004,32.96703297
N,,8619,43.095,0.44,0.455,-0.015,-0.045,-0.028549676,-0.085649029,0.090282004,34.09090909
N,,8764,43.82,0.725,0.44,0.285,-0.015,0.542443852,-0.028549676,0.54319464,20.68965517
N,,8861,44.305,0.485,0.725,-0.24,0.285,-0.456794823,0.542443852,0.709159251,30.92783505
N,,8962,44.81,0.505,0.485,0.02,-0.24,0.038066235,-0.456794823,0.458378172,29.7029703
N,,9064,45.32,0.51,0.505,0.005,0.02,0.009516559,0.038066235,0.039237777,29.41176471
N,,9170,45.85,0.53,0.51,0.02,0.005,0.038066235,0.009516559,0.039237777,28.30188679
N,,9273,46.365,0.515,0.53,-0.015,0.02,-0.028549676,0.038066235,0.047582794,29.12621359
N,,9373,46.865,0.5,0.515,-0.015,-0.015,-0.028549676,-0.028549676,0.04037534,30
N,,9467,47.335,0.47,0.5,-0.03,-0.015,-0.057099353,-0.028549676,0.063839017,31.91489362
N,,9586,47.93,0.595,0.47,0.125,-0.03,0.23791397,-0.057099353,0.244669968,25.21008403
N,,9692,48.46,0.53,0.595,-0.065,0.125,-0.123715265,0.23791397,0.268157648,28.30188679
N,,9795,48.975,0.515,0.53,-0.015,-0.065,-0.028549676,-0.123715265,0.126966731,29.12621359
N,,9895,49.475,0.5,0.515,-0.015,-0.015,-0.028549676,-0.028549676,0.04037534,30
N,,9997,49.985,0.51,0.5,0.01,-0.015,0.019033118,-0.028549676,0.034312441,29.41176471
N,,10100,50.5,0.515,0.51,0.005,0.01,0.009516559,0.019033118,0.021279672,29.12621359
N,,10203,51.015,0.515,0.515,0,0.005,0,0.009516559,0.009516559,29.12621359
N,,10306,51.53,0.515,0.515,0,0,0,0,0,29.12621359
N,,10409,52.045,0.515,0.515,0,0,0,0,0,29.12621359
N,,10514,52.57,0.525,0.515,0.01,0,0.019033118,0,0.019033118,28.57142857
N,,10617,53.085,0.515,0.525,-0.01,0.01,-0.019033118,0.019033118,0.026916893,29.12621359
N,,10723,53.615,0.53,0.515,0.015,-0.01,0.028549676,-0.019033118,0.034312441,28.30188679
N,,10819,54.095,0.48,0.53,-0.05,0.015,-0.095165588,0.028549676,0.099355791,31.25
N,,10958,54.79,0.695,0.48,0.215,-0.05,0.409212029,-0.095165588,0.420132091,21.58273381
N,,11062,55.31,0.52,0.695,-0.175,0.215,-0.333079558,0.409212029,0.5276329,28.84615385
N,,11150,55.75,0.44,0.52,-0.08,-0.175,-0.152264941,-0.333079558,0.366232992,34.09090909
N,,11290,56.45,0.7,0.44,0.26,-0.08,0.494861058,-0.152264941,0.517756776,21.42857143
N,,11439,57.195,0.745,0.7,0.045,0.26,0.085649029,0.494861058,0.502218302,20.13422819
N,,11581,57.905,0.71,0.745,-0.035,0.045,-0.066615912,0.085649029,0.108505465,21.12676056
N,,11717,58.585,0.68,0.71,-0.03,-0.035,-0.057099353,-0.066615912,0.087738337,22.05882353
N,,11805,59.025,0.44,0.68,-0.24,-0.03,-0.456794823,-0.057099353,0.4603497,34.09090909
N,,11898,59.49,0.465,0.44,0.025,-0.24,0.047582794,-0.456794823,0.459266407,32.25806452
N,,12005,60.025,0.535,0.465,0.07,0.025,0.133231823,0.047582794,0.141473818,28.03738318
N,,12117,60.585,0.56,0.535,0.025,0.07,0.047582794,0.133231823,0.141473818,26.78571429
N,,12226,61.13,0.545,0.56,-0.015,0.025,-0.028549676,0.047582794,0.055490597,27.52293578
N,,12351,61.755,0.625,0.545,0.08,-0.015,0.152264941,-0.028549676,0.154918354,24
N,,12455,62.275,0.52,0.625,-0.105,0.08,-0.199847735,0.152264941,0.251244362,28.84615385
N,,12558,62.79,0.515,0.52,-0.005,-0.105,-0.009516559,-0.199847735,0.200074191,29.12621359
N,,12661,63.305,0.515,0.515,0,-0.005,0,-0.009516559,0.009516559,29.12621359
N,,12764,63.82,0.515,0.515,0,0,0,0,0,29.12621359
N,,12865,64.325,0.505,0.515,-0.01,0,-0.019033118,0,0.019033118,29.7029703
N,,12970,64.85,0.525,0.505,0.02,-0.01,0.038066235,-0.019033118,0.042559345,28.57142857
N,,13075,65.375,0.525,0.525,1.42E-14,0.02,2.70E-14,0.038066235,0.038066235,28.57142857
N,,13178,65.89,0.515,0.525,-0.01,1.42E-14,-0.019033118,2.70E-14,0.019033118,29.12621359
N,,13269,66.345,0.455,0.515,-0.06,-0.01,-0.114198706,-0.019033118,0.115773935,32.96703297
N,,13406,67.03,0.685,0.455,0.23,-0.06,0.437761705,-0.114198706,0.452412041,21.89781022
N,,13515,67.575,0.545,0.685,-0.14,0.23,-0.266463647,0.437761705,0.512482376,27.52293578
N,,13640,68.2,0.625,0.545,0.08,-0.14,0.152264941,-0.266463647,0.3068998,24
N,,13759,68.795,0.595,0.625,-0.03,0.08,-0.057099353,0.152264941,0.162619028,25.21008403
N,,13895,69.475,0.68,0.595,0.085,-0.03,0.1617815,-0.057099353,0.171562204,22.05882353
N,,13990,69.95,0.475,0.68,-0.205,0.085,-0.390178911,0.1617815,0.422389437,31.57894737
N,,14108,70.54,0.59,0.475,0.115,-0.205,0.218880853,-0.390178911,0.447379493,25.42372881
N,,14203,71.015,0.475,0.59,-0.115,0.115,-0.218880853,0.218880853,0.30954427,31.57894737
N,,14320,71.6,0.585,0.475,0.11,-0.115,0.209364294,-0.218880853,0.302889807,25.64102564
N,,14408,72.04,0.44,0.585,-0.145,0.11,-0.275980206,0.209364294,0.34640797,34.09090909
N,,14495,72.475,0.435,0.44,-0.005,-0.145,-0.009516559,-0.275980206,0.276144235,34.48275862
N,,14634,73.17,0.695,0.435,0.26,-0.005,0.494861058,-0.009516559,0.494952555,21.58273381
N,,14745,73.725,0.555,0.695,-0.14,0.26,-0.266463647,0.494861058,0.562041228,27.02702703
N,,14840,74.2,0.475,0.555,-0.08,-0.14,-0.152264941,-0.266463647,0.3068998,31.57894737
N,,14923,74.615,0.415,0.475,-0.06,-0.08,-0.114198706,-0.152264941,0.190331176,36.14457831
N,,15014,75.07,0.455,0.415,0.04,-0.06,0.07613247,-0.114198706,0.137249763,32.96703297
N,,15115,75.575,0.505,0.455,0.05,0.04,0.095165588,0.07613247,0.121871417,29.7029703
N,,15217,76.085,0.51,0.505,0.005,0.05,0.009516559,0.095165588,0.095640232,29.41176471
N,,15317,76.585,0.5,0.51,-0.01,0.005,-0.019033118,0.009516559,0.021279672,30
N,,15420,77.1,0.515,0.5,0.015,-0.01,0.028549676,-0.019033118,0.034312441,29.12621359
N,,15526,77.63,0.53,0.515,0.015,0.015,0.028549676,0.028549676,0.04037534,28.30188679
N,,15631,78.155,0.525,0.53,-0.005,0.015,-0.009516559,0.028549676,0.030094001,28.57142857
N,,15736,78.68,0.525,0.525,0,-0.005,0,-0.009516559,0.009516559,28.57142857
N,,15840,79.2,0.52,0.525,-0.005,0,-0.009516559,0,0.009516559,28.84615385
N,,15950,79.75,0.55,0.52,0.03,-0.005,0.057099353,-0.009516559,0.057886967,27.27272727
N,,16069,80.345,0.595,0.55,0.045,0.03,0.085649029,0.057099353,0.102937322,25.21008403
N,,16186,80.93,0.585,0.595,-0.01,0.045,-0.019033118,0.085649029,0.087738337,25.64102564
N,,16290,81.45,0.52,0.585,-0.065,-0.01,-0.123715265,-0.019033118,0.125170788,28.84615385
N,,16384,81.92,0.47,0.52,-0.05,-0.065,-0.095165588,-0.123715265,0.15608317,31.91489362
N,,16498,82.49,0.57,0.47,0.1,-0.05,0.190331176,-0.095165588,0.212796724,26.31578947
N,,16612,83.06,0.57,0.57,1.42E-14,0.1,2.70E-14,0.190331176,0.190331176,26.31578947
N,,16712,83.56,0.5,0.57,-0.07,1.42E-14,-0.133231823,2.70E-14,0.133231823,30
N,,16825,84.125,0.565,0.5,0.065,-0.07,0.123715265,-0.133231823,0.181813601,26.54867257
N,,16926,84.63,0.505,0.565,-0.06,0.065,-0.114198706,0.123715265,0.168365112,29.7029703
N,,17042,85.21,0.58,0.505,0.075,-0.06,0.142748382,-0.114198706,0.182807125,25.86206897
N,,17156,85.78,0.57,0.58,-0.01,0.075,-0.019033118,0.142748382,0.144011667,26.31578947
N,,17259,86.295,0.515,0.57,-0.055,-0.01,-0.104682147,-0.019033118,0.106398362,29.12621359
N,,17381,86.905,0.61,0.515,0.095,-0.055,0.180814617,-0.104682147,0.208931275,24.59016393
N,,17490,87.45,0.545,0.61,-0.065,0.095,-0.123715265,0.180814617,0.219087637,27.52293578
N,,17601,88.005,0.555,0.545,0.01,-0.065,0.019033118,-0.123715265,0.125170788,27.02702703
N,,17705,88.525,0.52,0.555,-0.035,0.01,-0.066615912,0.019033118,0.069281594,28.84615385
N,,17808,89.04,0.515,0.52,-0.005,-0.035,-0.009516559,-0.066615912,0.067292233,29.12621359
N,,17911,89.555,0.515,0.515,0,-0.005,0,-0.009516559,0.009516559,29.12621359
N,,18017,90.085,0.53,0.515,0.015,0,0.028549676,0,0.028549676,28.30188679
N,,18122,90.61,0.525,0.53,-0.005,0.015,-0.009516559,0.028549676,0.030094001,28.57142857
N,,18226,91.13,0.52,0.525,-0.005,-0.005,-0.009516559,-0.009516559,0.013458447,28.84615385
N,,18330,91.65,0.52,0.52,1.42E-14,-0.005,2.70E-14,-0.009516559,0.009516559,28.84615385
N,,18434,92.17,0.52,0.52,-1.42E-14,1.42E-14,-2.70E-14,2.70E-14,3.83E-14,28.84615385
N,,18539,92.695,0.525,0.52,0.005,-1.42E-14,0.009516559,-2.70E-14,0.009516559,28.57142857
N,,18644,93.22,0.525,0.525,1.42E-14,0.005,2.70E-14,0.009516559,0.009516559,28.57142857
N,,18747,93.735,0.515,0.525,-0.01,1.42E-14,-0.019033118,2.70E-14,0.019033118,29.12621359
N,,18848,94.24,0.505,0.515,-0.01,-0.01,-0.019033118,-0.019033118,0.026916893,29.7029703
N,,18947,94.735,0.495,0.505,-0.01,-0.01,-0.019033118,-0.019033118,0.026916893,30.3030303
N,,19048,95.24,0.505,0.495,0.01,-0.01,0.019033118,-0.019033118,0.026916893,29.7029703
N,,19148,95.74,0.5,0.505,-0.005,0.01,-0.009516559,0.019033118,0.021279672,30
N,,19251,96.255,0.515,0.5,0.015,-0.005,0.028549676,-0.009516559,0.030094001,29.12621359
N,,19359,96.795,0.54,0.515,0.025,0.015,0.047582794,0.028549676,0.055490597,27.77777778
N,,19464,97.32,0.525,0.54,-0.015,0.025,-0.028549676,0.047582794,0.055490597,28.57142857
N,,19561,97.805,0.485,0.525,-0.04,-0.015,-0.07613247,-0.028549676,0.081309514,30.92783505
N,,19676,98.38,0.575,0.485,0.09,-0.04,0.171298059,-0.07613247,0.187454469,26.08695652
N,,19761,98.805,0.425,0.575,-0.15,0.09,-0.285496764,0.171298059,0.33294358,35.29411765
N,,19855,99.275,0.47,0.425,0.045,-0.15,0.085649029,-0.285496764,0.298067373,31.91489362
N,,19955,99.775,0.5,0.47,0.03,0.045,0.057099353,0.085649029,0.102937322,30
N,,20069,100.345,0.57,0.5,0.07,0.03,0.133231823,0.057099353,0.144951905,26.31578947
N,,20164,100.82,0.475,0.57,-0.095,0.07,-0.180814617,0.133231823,0.224598853,31.57894737
N,,20264,101.32,0.5,0.475,0.025,-0.095,0.047582794,-0.180814617,0.186970715,30
N,,20364,101.82,0.5,0.5,0,0.025,0,0.047582794,0.047582794,30
N,,20462,102.31,0.49,0.5,-0.01,0,-0.019033118,0,0.019033118,30.6122449
N,,20555,102.775,0.465,0.49,-0.025,-0.01,-0.047582794,-0.019033118,0.051248238,32.25806452
N,,20665,103.325,0.55,0.465,0.085,-0.025,0.1617815,-0.047582794,0.168633852,27.27272727
N,,20764,103.82,0.495,0.55,-0.055,0.085,-0.104682147,0.1617815,0.192695629,30.3030303
N,,20864,104.32,0.5,0.495,0.005,-0.055,0.009516559,-0.104682147,0.105113828,30
N,,20969,104.845,0.525,0.5,0.025,0.005,0.047582794,0.009516559,0.048525119,28.57142857
N,,21072,105.36,0.515,0.525,-0.01,0.025,-0.019033118,0.047582794,0.051248238,29.12621359
N,,21175,105.875,0.515,0.515,0,-0.01,0,-0.019033118,0.019033118,29.12621359
N,,21278,106.39,0.515,0.515,0,0,0,0,0,29.12621359
N,,21384,106.92,0.53,0.515,0.015,0,0.028549676,0,0.028549676,28.30188679
N,,21490,107.45,0.53,0.53,0,0.015,0,0.028549676,0.028549676,28.30188679
N,,21595,107.975,0.525,0.53,-0.005,0,-0.009516559,0,0.009516559,28.57142857
N,,21700,108.5,0.525,0.525,1.42E-14,-0.005,2.70E-14,-0.009516559,0.009516559,28.57142857
N,,21803,109.015,0.515,0.525,-0.01,1.42E-14,-0.019033118,2.70E-14,0.019033118,29.12621359
N,,21901,109.505,0.49,0.515,-0.025,-0.01,-0.047582794,-0.019033118,0.051248238,30.6122449
N,,22019,110.095,0.59,0.49,0.1,-0.025,0.190331176,-0.047582794,0.196188886,25.42372881
N,,22123,110.615,0.52,0.59,-0.07,0.1,-0.133231823,0.190331176,0.232328809,28.84615385
N,,22231,111.155,0.54,0.52,0.02,-0.07,0.038066235,-0.133231823,0.138563188,27.77777778
N,,22336,111.68,0.525,0.54,-0.015,0.02,-0.028549676,0.038066235,0.047582794,28.57142857
N,,22433,112.165,0.485,0.525,-0.04,-0.015,-0.07613247,-0.028549676,0.081309514,30.92783505
N,,22531,112.655,0.49,0.485,0.005,-0.04,0.009516559,-0.07613247,0.07672495,30.6122449
N,,22645,113.225,0.57,0.49,0.08,0.005,0.152264941,0.009516559,0.152562044,26.31578947
N,,22750,113.75,0.525,0.57,-0.045,0.08,-0.085649029,0.152264941,0.174700797,28.57142857
N,,22853,114.265,0.515,0.525,-0.01,-0.045,-0.019033118,-0.085649029,0.087738337,29.12621359
N,,22959,114.795,0.53,0.515,0.015,-0.01,0.028549676,-0.019033118,0.034312441,28.30188679
N,,23059,115.295,0.5,0.53,-0.03,0.015,-0.057099353,0.028549676,0.063839017,30
N,,23161,115.805,0.51,0.5,0.01,-0.03,0.019033118,-0.057099353,0.060188003,29.41176471
N,,23262,116.31,0.505,0.51,-0.005,0.01,-0.009516559,0.019033118,0.021279672,29.7029703
N,,23364,116.82,0.51,0.505,0.005,-0.005,0.009516559,-0.009516559,0.013458447,29.41176471
N,,23461,117.305,0.485,0.51,-0.025,0.005,-0.047582794,0.009516559,0.048525119,30.92783505
N,,23575,117.875,0.57,0.485,0.085,-0.025,0.1617815,-0.047582794,0.168633852,26.31578947
N,,23676,118.38,0.505,0.57,-0.065,0.085,-0.123715265,0.1617815,0.203663252,29.7029703
